订单号,日期,渠道,商品ID,商品名称,单价,数量,金额,用户ID,收货省份,订单状态,商品品类,承诺发货时效,物流商,承诺送达时效,发货时间,签收时间,退款原因
DD202402079,2024-07-09,抖音,P012,机械键盘 87键,199,-3.0,-597.0,U0109,山东,已退款,电脑办公,,,,,,物流太慢
DD202403141,2024-10-28,京东,P018,美的 1.5匹空调,2799,5.0,13995.0,U0914,安徽,已完成,家电,3.0,邮政,6.0,2024-10-31,2024/11/4,
DD202400592,2024-06-07,天猫,P034,雅诗兰黛 小棕瓶,950,5.0,2375.0,U1339,江西,已完成,美妆个护,3.0,邮政,6.0,2024-06-10,2024-06-16,
DD202401614,2024/11/28,抖音,P041,蒙牛 纯牛奶24盒,69.9,-1.0,-69.9,,河北,已退款,食品,,,,,,物流太慢
DD202402345,2024-11-21,京东,P028,李宁 跑步鞋,399,3.0,1197.0,U0109,湖北,已完成,服饰,2.0,中通,4.0,2024-11-23,2024-11-27,
DD202402312,2024-06-07,京东,P036,云南白药 牙膏,¥39.9,3.0,59.85,U0134,湖北,已完成,美妆个护,1.0,京东物流,3.0,2024-06-08,2024-06-10,
DD202404221,2024-10-10,京东,P027,优衣库 圆领T恤,79,4.0,316.0,U0381,浙江,已发货,服饰,1.0,顺丰,3.0,2024-10-12,,
DD202404169,2024-10-15,天猫,P018,美的 1.5匹空调,¥2799,4.0,11196.0,U0419,河南,已完成,家电,1.0,顺丰,3.0,2024-10-16,2024-10-19,
DD202400994,2024-02-16,拼多多,P022,苏泊尔电饭煲,299,3.0,897.0,U0019,四川,已完成,家电,1.0,顺丰,3.0,2024-02-17,2024-02-19,
DD202402180,2024-10-24,京东,P008,索尼 WH-1000XM5 耳机,¥2399,5.0,11995.0,U0650,广西,已完成,手机数码,1.0,京东物流,3.0,2024-10-25,2024-10-26,
DD202404458,2024/12/27,天猫,P017,得力 文件夹,,5.0,,U1231,湖南,已完成,电脑办公,1.0,顺丰,3.0,2024/12/28,2024-12-29,
DD202404674,2024-04-19,微信小程序,P019,海尔 10kg 滚筒洗衣机,1899,4.0,7596.0,U0642,浙江,已完成,家电,2.0,圆通,4.0,2024-04-21,2024-04-25,
DD202400407,2024/8/8,抖音,P003,华为 Mate 60 Pro,¥6999,1.0,6999.0,U0976,上海,已完成,手机数码,3.0,邮政,6.0,2024-08-12,2024-08-16,
DD202403464,2024/11/23,京东,P021,米家扫地机器人 ,"1,599",5.0,7995.0,U0527,江苏,已发货,家电,2.0,中通,4.0,2024-11-25,,
DD202400273,2024/3/26,京东,P027,优衣库圆领T恤,79,2.0,158.0,U0617,湖北,已完成,服饰,1.0,京东物流,3.0,2024-03-27,2024/3/30,
DD202401237,20241126,天猫,P011,罗技 MX Master 3S 鼠标,699,-3.0,-2097.0,U1010,湖北,已退款,电脑办公,,,,,,七天无理由
DD202403832,2024-11-01,京东,P027,优衣库 圆领T恤,79,4.0,,,吉林,已完成,服饰,1.0,京东物流,3.0,2024-11-02,2024-11-03,
DD202404350,2024/3/10,京东,P018,美的 1.5匹空调,¥2799,4.0,11196.0,U1387,山东,已完成,家电,1.0,京东物流,3.0,2024-03-11,2024-03-13,
DD202400588,2024-03-22,微信小程序,P042,农夫山泉 矿泉水,36,3.0,108.0,U0873,海南,已取消,食品,,,,,,
DD202401180,2024-04-20,拼多多,P015,华为平板MatePad11,2199,4.0,8796.0,U0766,,已完成,电脑办公,2.0,圆通,4.0,2024-04-23,2024/4/26,
DD202400015,20240926,天猫,P010,小米充电宝20000mAh,¥129,2.0,258.0,U1299,重庆,已完成,手机数码,1.0,顺丰,3.0,2024-09-27,2024-09-30,
DD202402392,20240822,京东,P006,redmi k70,2499,4.0,9996.0,U1197,广东,待发货,手机数码,,,,,,
DD202400779,2024/4/28,天猫,P042,农夫山泉 矿泉水,36,5.0,180.0,U1286,江苏,已完成,食品,1.0,顺丰,3.0,2024-04-29,2024-05-01,
DD202404801,20240206,京东,P037,海飞丝洗发水,59.9,2.0,119.8,U0259,四川,已发货,美妆个护,2.0,中通,4.0,2024-02-08,,
DD202401983,2024-01-22,天猫,P018,美的 1.5匹空调 ,2799,4.0,11196.0,U1077,上海,已完成,家电,1.0,顺丰,3.0,2024-01-23,2024-01-26,
DD202402619,2024-07-28,微信小程序,P027,优衣库 圆领T恤,,2.0,,U0192,湖南,已完成,服饰,1.0,京东物流,3.0,2024-07-29,2024-07-31,
DD202404321,2024-01-06,抖音,P032,太平鸟 牛仔裤 ,,5.0,,U0743,天津,已完成,服饰,2.0,中通,4.0,2024-01-07,2024/1/11,
DD202401513,2024-06-21,拼多多,P012,机械键盘 87键,199,5.0,995.0,U0751,陕西,已取消,电脑办公,,,,,,
DD202402550,2024-06-10,拼多多,P028,李宁 跑步鞋,399,3.0,1197.0,U0483,重庆,待发货,服饰,,,,,,
DD202400189,2024-01-29,京东,P038,全棉时代 洗脸巾,49.9,-1.0,-49.9,U0208,浙江,已退款,美妆个护,,,,,,七天无理由
DD202401294,2024-04-04,拼多多,P001,iPhone15128G,5999,3.0,17997.0,U1351,河北,已发货,手机数码,3.0,邮政,6.0,2024-04-07,,
DD202400052,2024-02-17,天猫,P036,云南白药 牙膏,39.9,2.0,39.9,U1437,辽宁,已完成,美妆个护,2.0,圆通,4.0,2024-02-19,2024-02-21,
DD202402940,2024-03-27,天猫,P042,农夫山泉 矿泉水,¥36,3.0,108.0,U1185,,已发货,食品,1.0,顺丰,3.0,2024-03-28,,
DD202404829,2024-02-20,京东,P028,李宁 跑步鞋 ,399,2.0,,U1265,辽宁,已完成,服饰,2.0,中通,4.0,2024-02-22,2024-02-26,
DD202403234,2024-03-03,天猫,P017,得力 文件夹,15.9,2.0,31.8,U1040,湖北,已取消,电脑办公,,,,,,
DD202401422,20240628,拼多多,P007,AirPodsPro2,¥1899,-1.0,,U0545,湖北,已退款,手机数码,,,,,,质量问题
DD202401341,2024/12/17,拼多多,P008,索尼 WH-1000XM5 耳机,2399,1.0,2399.0,U1431,内蒙古,已完成,手机数码,1.0,顺丰,3.0,2024-12-18,2024-12-20,
DD202403569,2024-06-04,天猫,P040,三只松鼠坚果礼盒,99,2.0,198.0,U0748,山西,已完成,食品,2.0,中通,4.0,2024-06-06,2024-06-09,
DD202400571,2024-05-09,拼多多,P010,小米 充电宝20000mAh,129,5.0,645.0,U1346,山东,已完成,手机数码,3.0,邮政,6.0,2024/5/11,2024/5/14,
DD202401525,2024-08-02,微信小程序,P036,云南白药 牙膏,¥39.9,4.0,159.6,U0571,湖北,已取消,美妆个护,,,,,,
DD202400217,2024/11/21,拼多多,P038,全棉时代 洗脸巾,49.9,5.0,249.5,U0873,河南,已完成,美妆个护,1.0,顺丰,3.0,2024-11-22,2024-11-23,
DD202400265,2024-05-27,天猫,P044,良品铺子 零食大礼包,139,-1.0,-139.0,U0999,上海,已退款,食品,,,,,,不想要了
DD202403651,2024-04-22,天猫,P012,机械键盘 87键,199,2.0,398.0,U0285,江苏,已完成,电脑办公,2.0,中通,4.0,2024-04-23,2024-04-27,
DD202400586,2024-11-26,天猫,P007,AirPods Pro 2,1899,2.0,3798.0,U0991,浙江,已发货,手机数码,1.0,京东物流,3.0,2024/11/27,,
DD202401118,2024/11/26,天猫,P018,美的 1.5匹空调,¥2799,2.0,5598.0,U0570,江苏,已完成,家电,1.0,顺丰,3.0,2024-11-27,2024/11/30,
DD202401744,2024-10-20,拼多多,P044,良品铺子 零食大礼包 ,¥139,2.0,278.0,U1399,福建,已完成,食品,1.0,京东物流,3.0,2024-10-21,2024-10-23,
DD202402769,2024-01-10,拼多多,P045,金龙鱼 食用油5L,89.9,2.0,179.8,U1164,贵州,已完成,食品,2.0,圆通,4.0,2024-01-13,2024-01-15,
DD202402292,2024/3/2,抖音,P041,蒙牛 纯牛奶24盒,69.9,3.0,209.70000000000002,U0208,重庆,待发货,食品,,,,,,
DD202402250,2024-06-23,天猫,P036,云南白药 牙膏,39.9,-3.0,-119.69999999999999,U0609,辽宁,已退款,美妆个护,,,,,,物流太慢
DD202400581,2024-04-09,天猫,P032,太平鸟 牛仔裤,259,3.0,777.0,U0226,北京,已发货,服饰,1.0,顺丰,3.0,2024-04-10,,
DD202404084,2024-11-13,京东,P039,完美日记 口红,89,5.0,445.0,U0235,重庆,已发货,美妆个护,1.0,京东物流,3.0,2024-11-14,,
DD202402439,2024-11-13,拼多多,P042,农夫山泉矿泉水,36,1.0,36.0,U0327,浙江,已完成,食品,1.0,京东物流,3.0,2024-11-14,2024-11-16,
DD202401352,2024-09-17,抖音,P045,金龙鱼食用油5L,¥89.9,0.0,,U1471,陕西,已发货,食品,2.0,中通,4.0,2024-09-18,,
DD202404777,2024-07-19,抖音,P011,罗技 MX Master 3S 鼠标 ,699,-1.0,-699.0,U0409,广东,已退款,电脑办公,,,,,,质量问题
DD202401471,2024-03-05,天猫,P036,云南白药 牙膏,39.9,5.0,199.5,U0388,福建,已取消,美妆个护,,,,,,
DD202402564,20241109,天猫,P047,全棉时代 浴巾,79,2.0,158.0,U0698,湖北,已完成,家居日用,1.0,顺丰,3.0,2024-11-10,2024-11-11,
DD202403462,2024-12-07,微信小程序,P010,小米 充电宝20000mAh,¥129,4.0,,U1077,湖北,待发货,手机数码,,,,,,
DD202404747,2024-04-13,天猫,P047,全棉时代 浴巾,79,2.0,158.0,U0307,广东,已完成,家居日用,2.0,中通,4.0,2024-04-15,2024-04-18,
DD202403520,,京东,P048,公牛 插线板,49.9,3.0,149.7,U0401,河北,已完成,家居日用,1.0,京东物流,3.0,,,
DD202404787,2024-09-09,拼多多,P041,蒙牛 纯牛奶24盒,¥69.9,1.0,69.9,U0238,浙江,已完成,食品,2.0,圆通,4.0,2024-09-10,2024-09-13,
DD202401457,2024-11-04,天猫,P035,欧莱雅 洗面奶,¥129,2.0,258.0,U0169,广东,待发货,美妆个护,,,,,,
DD202400462,2024-07-19,抖音,P029,阿迪达斯 运动外套,599,4.0,2396.0,U0744,四川,已完成,服饰,1.0,顺丰,3.0,2024/7/20,2024-07-21,
DD202400844,2024-04-01,拼多多,P020,格力 电风扇,¥199,1.0,199.0,U0491,广东,已完成,家电,1.0,京东物流,3.0,2024-04-02,2024/4/4,
DD202403906,2024-10-01,天猫,P045,金龙鱼 食用油5L ,89.9,0.0,,U0637,山西,已完成,食品,3.0,邮政,6.0,2024/10/4,2024/10/8,
DD202401885,2024-02-05,天猫,P009,小米手环8,249,4.0,996.0,U0520,河南,已完成,手机数码,2.0,圆通,4.0,2024-02-06,2024-02-08,
DD202400516,2024-11-20,京东,P034,雅诗兰黛 小棕瓶,950,2.0,1900.0,U1058,广东,已完成,美妆个护,3.0,邮政,6.0,2024-11-25,2024-11-29,
DD202403914,2024-08-28,拼多多,P019,海尔 10kg 滚筒洗衣机,1899,2.0,3798.0,U0470,江苏,已发货,家电,2.0,中通,4.0,2024-08-30,,
DD202403269,2024-02-11,京东,P047,全棉时代浴巾,¥79,3.0,237.0,U0142,福建,已发货,家居日用,1.0,顺丰,3.0,2024-02-12,,
DD202404784,2024-12-16,抖音,P038,全棉时代 洗脸巾,¥49.9,-2.0,-99.8,U0589,湖北,已退款,美妆个护,,,,,,七天无理由
DD202400172,2024-01-03,抖音,P035,欧莱雅 洗面奶,129,2.0,258.0,U0595,广东,已完成,美妆个护,1.0,京东物流,3.0,2024-01-04,2024-01-06,
DD202401135,2024-01-20,天猫,P042,农夫山泉矿泉水,¥36,3.0,108.0,U0659,云南,待发货,食品,,,,,,
DD202403692,2024-01-03,京东,P045,金龙鱼 食用油5L,89.9,4.0,359.6,U0209,安徽,已取消,食品,,,,,,
DD202401113,2024/6/29,拼多多,P004,小米1412+256G,4299,-3.0,-12897.0,U0250,青海,已退款,手机数码,,,,,,质量问题
DD202403527,2024-06-04,拼多多,P002,iPhone 15 Pro 256G ,¥8999,3.0,26997.0,U0297,广东,已完成,手机数码,2.0,圆通,4.0,2024-06-07,2024-06-10,
DD202401491,2024-09-27,天猫,P009,小米手环8,249,1.0,249.0,U0751,浙江,已完成,手机数码,1.0,京东物流,3.0,2024/9/28,2024-09-30,
DD202400222,2024-07-08,天猫,P017,得力 文件夹 ,15.9,5.0,79.5,U0976,湖南,待发货,电脑办公,,,,,,
DD202402504,2024-06-27,抖音,P007,AirPods Pro 2,¥1899,-2.0,-3798.0,U0200,黑龙江,已退款,手机数码,,,,,,七天无理由
DD202403570,2024-09-09,拼多多,P034,雅诗兰黛 小棕瓶,¥950,3.0,2850.0,U0141,云南,已完成,美妆个护,2.0,中通,4.0,2024-09-11,2024-09-13,
DD202403253,2024-02-12,京东,P044,良品铺子 零食大礼包 ,139,2.0,139.0,U0160,广东,已完成,食品,2.0,圆通,4.0,2024-02-14,2024-02-17,
DD202403348,2024-07-20,拼多多,P020,格力 电风扇 ,¥199,1.0,199.0,U0355,山东,已取消,家电,,,,,,
DD202403589,2024-03-27,天猫,P043,星巴克咖啡豆,¥128,4.0,512.0,U0100,江苏,已完成,食品,1.0,顺丰,3.0,2024-03-28,2024-03-29,
DD202404691,20241225,拼多多,P043,星巴克咖啡豆,¥128,3.0,384.0,U1430,福建,已完成,食品,3.0,邮政,6.0,2024-12-27,2024-12-31,
DD202401878,2024/12/23,拼多多,P037,海飞丝 洗发水,¥59.9,-2.0,-119.8,U0913,四川,已退款,美妆个护,,,,,,物流太慢
DD202403384,2024-06-24,天猫,P032,太平鸟 牛仔裤,¥259,1.0,259.0,U0159,广东,已完成,服饰,3.0,邮政,6.0,2024-06-27,2024-07-02,
DD202402762,2024-09-24,京东,P050,宜家 收纳箱,69,4.0,276.0,U0187,江苏,已完成,家居日用,2.0,中通,4.0,2024-09-25,2024-09-29,
DD202403450,2024-07-06,天猫,P037,海飞丝 洗发水,,2.0,,U0355,江苏,已取消,美妆个护,,,,,,
DD202402756,2024-01-15,京东,P032,太平鸟 牛仔裤,259,3.0,777.0,U0788,上海,已完成,服饰,1.0,京东物流,3.0,2024/1/16,2024-01-18,
DD202400746,2024-08-10,京东,P029,阿迪达斯 运动外套,599,2.0,1198.0,U0380,云南,已完成,服饰,3.0,邮政,6.0,2024-08-12,2024/8/16,
DD202404352,2024-12-23,拼多多,P005,荣耀 Magic6,3999,2.0,7998.0,U1470,山东,已发货,手机数码,2.0,中通,4.0,2024-12-24,,
DD202401449,2024-06-06,拼多多,P046,网易严选 保温杯,99,1.0,99.0,U0052,重庆,已完成,家居日用,1.0,顺丰,3.0,2024-06-07,2024-06-09,
DD202402983,2024-01-10,拼多多,P022,苏泊尔电饭煲,299,3.0,448.5,U0070,陕西,已完成,家电,1.0,京东物流,3.0,2024-01-11,2024/1/13,
DD202402090,2024-06-17,拼多多,P027,优衣库 圆领T恤,¥79,5.0,395.0,U0099,山东,已完成,服饰,2.0,中通,4.0,2024-06-19,2024-06-24,
DD202401859,2024-01-29,抖音,P003,华为 Mate 60 Pro,6999,4.0,27996.0,U1431,河北,已完成,手机数码,1.0,顺丰,3.0,2024-01-30,2024-01-31,
DD202400754,2024-03-12,京东,P038,全棉时代 洗脸巾,49.9,1.0,49.9,U0819,河北,已完成,美妆个护,3.0,邮政,6.0,2024-03-14,2024-03-18,
DD202401798,2024/2/5,拼多多,P001,iPhone 15 128G,5999,3.0,17997.0,U0781,江苏,已发货,手机数码,1.0,京东物流,3.0,2024-02-06,,
DD202403242,2024-10-18,抖音,P035,欧莱雅 洗面奶,129,3.0,387.0,U0997,河北,已完成,美妆个护,1.0,顺丰,3.0,2024/10/19,2024-10-21,
DD202403272,2024-12-05,微信小程序,P016,得力 A4 打印纸,29.9,3.0,89.69999999999999,U0547,上海,已取消,电脑办公,,,,,,
DD202400152,2024-03-10,拼多多,P043,星巴克 咖啡豆,128,1.0,128.0,U0018,江苏,已完成,食品,2.0,中通,4.0,2024-03-11,2024-03-14,
DD202401974,2024/6/22,抖音,P050,宜家 收纳箱,69,,,U1480,安徽,已退款,家居日用,,,,,,发错货
DD202403205,2024-02-24,京东,P041,蒙牛 纯牛奶24盒,¥69.9,-1.0,-69.9,U0264,河南,已退款,食品,,,,,,物流太慢
DD202400163,2024-12-14,天猫,P012,机械键盘 87键,199,4.0,796.0,U0384,河南,已取消,电脑办公,,,,,,
DD202402667,2024-07-05,拼多多,P019,海尔 10kg 滚筒洗衣机 ,1899,3.0,5697.0,U0570,上海,已发货,家电,1.0,顺丰,3.0,2024-07-06,,
DD202404851,2024-11-15,天猫,P021,米家扫地机器人,¥1599,1.0,1599.0,U0727,河南,已完成,家电,1.0,京东物流,3.0,2024-11-16,2024-11-18,
DD202403902,2024-02-26,抖音,P027,优衣库圆领T恤,,5.0,,U1141,广东,已完成,服饰,3.0,邮政,6.0,2024-02-29,2024-03-04,
DD202402698,2024-01-08,京东,P015,华为平板 MatePad 11,2199,4.0,8796.0,U0839,山东,已发货,电脑办公,1.0,顺丰,3.0,2024-01-09,,
DD202401654,2024-06-25,拼多多,P009,小米手环8,249,3.0,747.0,U0995,河南,已发货,手机数码,3.0,邮政,6.0,2024-06-28,,
DD202400972,2024/8/3,天猫,P029,阿迪达斯运动外套,599,1.0,599.0,U1070,重庆,已发货,服饰,2.0,圆通,4.0,2024-08-05,,
DD202400065,2024-05-16,微信小程序,P046,网易严选 保温杯,¥99,1.0,99.0,U0442,湖南,已完成,家居日用,1.0,顺丰,3.0,2024-05-17,2024-05-19,
DD202402531,20241229,天猫,P022,苏泊尔电饭煲,299,5.0,1495.0,U0919,广东,已完成,家电,1.0,顺丰,3.0,2024-12-30,2025-01-03,
DD202402577,2024/3/20,拼多多,P041,蒙牛 纯牛奶24盒,69.9,1.0,69.9,U0166,广东,已完成,食品,1.0,京东物流,3.0,2024-03-21,2024-03-23,
DD202400211,2024-09-11,微信小程序,P047,全棉时代 浴巾,79,4.0,316.0,U0220,江苏,已取消,家居日用,,,,,,
DD202404163,2024-04-19,天猫,P018,美的 1.5匹空调,¥2799,3.0,8397.0,U1143,江苏,已完成,家电,2.0,中通,4.0,2024-04-20,2024-04-23,
DD202402945,20240307,京东,P047,全棉时代 浴巾,,1.0,,U0854,山西,已取消,家居日用,,,,,,
DD202402960,2024/12/14,天猫,P035,欧莱雅 洗面奶,129,5.0,645.0,U0459,江苏,已完成,美妆个护,1.0,京东物流,3.0,2024-12-15,2024/12/16,
DD202404401,20241114,京东,P020,格力 电风扇,¥199,1.0,199.0,,北京,已完成,家电,2.0,圆通,4.0,2024-11-16,2024-11-19,
DD202403325,2024-05-07,京东,P015,华为平板 MatePad 11,¥2199,2.0,4398.0,U0633,天津,已发货,电脑办公,1.0,顺丰,3.0,2024-05-08,,
DD202403648,2024-06-01,天猫,P017,得力文件夹,15.9,5.0,79.5,U0888,湖南,已完成,电脑办公,3.0,邮政,6.0,2024-06-03,2024-06-07,
DD202400260,2024-08-27,拼多多,P046,网易严选 保温杯,99,2.0,198.0,U1073,福建,已完成,家居日用,2.0,中通,4.0,2024/8/29,2024-09-02,
DD202402032,2024-09-21,京东,P042,农夫山泉 矿泉水,36,4.0,144.0,U1297,河南,已取消,食品,,,,,,
DD202400889,2024/11/19,拼多多,P021,米家扫地机器人,¥1599,4.0,6396.0,U0187,上海,已取消,家电,,,,,,
DD202402371,2024-03-05,天猫,P034,雅诗兰黛 小棕瓶,¥950,,,U0110,山东,已完成,美妆个护,1.0,京东物流,3.0,2024-03-07,2024-03-09,
DD202402124,2024-05-01,天猫,P039,完美日记口红,89,1.0,89.0,U1316,北京,已完成,美妆个护,2.0,中通,4.0,2024-05-02,2024-05-05,
DD202400011,20241104,天猫,P026,小米电视 65寸,"2,999",1.0,2999.0,U0892,广东,已完成,家电,1.0,顺丰,3.0,2024-11-05,2024-11-07,
DD202403701,2024-08-05,抖音,P007,AirPods Pro 2,1899,4.0,7596.0,U0644,江苏,已发货,手机数码,3.0,邮政,6.0,2024-08-08,,
DD202402562,2024-04-09,拼多多,P008,索尼 WH-1000XM5 耳机,¥2399,0.0,,U0620,北京,已完成,手机数码,1.0,京东物流,3.0,2024-04-10,2024-04-11,
DD202404050,2024/3/28,天猫,P008,索尼WH-1000XM5耳机,2399,5.0,11995.0,U1272,广东,已完成,手机数码,1.0,京东物流,3.0,2024/3/29,2024-03-31,
DD202400622,2024-09-17,微信小程序,P041,蒙牛纯牛奶24盒,¥69.9,1.0,69.9,U0193,江苏,已完成,食品,1.0,顺丰,3.0,2024-09-18,2024/9/19,
DD202400115,2024-06-13,天猫,P016,得力 A4 打印纸,29.9,5.0,149.5,U1102,广东,已完成,电脑办公,2.0,中通,4.0,2024/6/16,2024/6/19,
DD202400825,2024-05-14,拼多多,P049,苏泊尔 炒锅,¥159,4.0,636.0,U1238,湖北,已取消,家居日用,,,,,,
DD202403480,2024/11/17,拼多多,P020,格力 电风扇,199,1.0,199.0,U0550,湖北,已取消,家电,,,,,,
DD202402972,2024-10-03,天猫,P011,罗技 MX Master 3S 鼠标 ,699,4.0,2796.0,U0461,四川,已发货,电脑办公,1.0,京东物流,3.0,2024-10-05,,
DD202402677,2024-11-08,抖音,P035,欧莱雅 洗面奶,129,3.0,387.0,U1232,四川,已完成,美妆个护,1.0,顺丰,3.0,2024-11-09,2024-11-11,
DD202404694,2024-01-27,天猫,P011,罗技 MX Master 3S 鼠标,¥699,3.0,2097.0,U0338,重庆,已完成,电脑办公,2.0,圆通,4.0,2024-01-29,2024-02-03,
DD202401472,20240308,拼多多,P001,iPhone 15 128G,5999,3.0,8998.5,U1351,浙江,已完成,手机数码,1.0,顺丰,3.0,2024-03-09,2024-03-11,
DD202401433,2024/8/9,京东,P046,网易严选 保温杯,99,1.0,99.0,U0905,浙江,已完成,家居日用,3.0,邮政,6.0,2024-08-12,2024-08-17,
DD202403658,2024-12-12,京东,P049,苏泊尔 炒锅,¥159,3.0,477.0,U1073,广东,已取消,家居日用,,,,,,
DD202404186,2024-02-20,京东,P002,iPhone15Pro256G,¥8999,1.0,8999.0,U0699,湖南,已完成,手机数码,2.0,圆通,4.0,2024-02-22,2024/2/26,
DD202402842,2024-07-18,抖音,P047,全棉时代 浴巾,79,-1.0,-79.0,U0624,广东,已退款,家居日用,,,,,,物流太慢
DD202404852,2024-11-17,天猫,P036,云南白药 牙膏,39.9,5.0,199.5,U0963,江苏,已取消,美妆个护,,,,,,
DD202403262,2024-05-25,抖音,P002,iPhone 15 Pro 256G,¥8999,-1.0,-8999.0,U0771,河南,已退款,手机数码,,,,,,七天无理由
DD202401452,2024/6/28,天猫,P045,金龙鱼 食用油5L,89.9,3.0,269.70000000000005,U0265,山东,已完成,食品,3.0,邮政,6.0,2024-07-02,2024-07-06,
DD202401665,2024-02-23,京东,P033,兰蔻 小黑瓶精华,¥760,4.0,3040.0,U0278,福建,已完成,美妆个护,2.0,中通,4.0,2024/2/25,2024/2/28,
DD202403813,2024-08-04,抖音,P047,全棉时代 浴巾 ,79,2.0,158.0,U1229,四川,已发货,家居日用,3.0,邮政,6.0,2024/8/7,,
DD202402050,20240714,抖音,P017,得力文件夹,¥15.9,5.0,79.5,U0674,上海,待发货,电脑办公,,,,,,
DD202400219,2024/4/29,微信小程序,P005,荣耀 Magic6,3999,1.0,3999.0,U0570,安徽,已完成,手机数码,1.0,顺丰,3.0,2024/4/30,2024-05-03,
DD202402775,2024/3/9,天猫,P026,小米电视 65寸,"2,999",,,U1369,云南,已完成,家电,1.0,顺丰,3.0,2024-03-10,2024-03-11,
DD202400178,2024-07-22,京东,P027,优衣库 圆领T恤 ,79,1.0,79.0,U1464,内蒙古,已取消,服饰,,,,,,
DD202401194,2024-09-14,天猫,P010,小米 充电宝20000mAh ,¥129,5.0,645.0,U0415,浙江,已完成,手机数码,1.0,顺丰,3.0,2024-09-15,2024-09-17,
DD202402455,2024-11-09,拼多多,P035,欧莱雅 洗面奶,129,5.0,645.0,U1116,海南,待发货,美妆个护,,,,,,
DD202400069,2024-12-21,天猫,P018,美的1.5匹空调,2799,1.0,2799.0,U0762,上海,已完成,家电,2.0,圆通,4.0,2024-12-23,2024-12-27,
DD202402147,2024-11-23,天猫,P039,完美日记 口红,89,1.0,89.0,U0661,广东,已完成,美妆个护,1.0,京东物流,3.0,2024-11-24,2024-11-27,
DD202403984,2024-03-28,京东,P026,小米电视 65寸,2999,5.0,14995.0,U1403,河南,已完成,家电,2.0,中通,4.0,2024-03-30,2024-04-03,
DD202404459,2024-09-07,天猫,P046,网易严选 保温杯,¥99,5.0,495.0,U1431,河南,已完成,家居日用,1.0,顺丰,3.0,2024-09-08,2024-09-09,
DD202400259,2024-11-13,天猫,P018,美的 1.5匹空调,"2,799",5.0,13995.0,U1403,辽宁,待发货,家电,,,,,,
DD202401526,2024-05-30,天猫,P018,美的1.5匹空调,2799,4.0,11196.0,U1340,浙江,已完成,家电,1.0,京东物流,3.0,2024-05-31,2024/6/3,
DD202400385,2024-06-08,拼多多,P027,优衣库 圆领t恤,,-1.0,,U0709,吉林,已退款,服饰,,,,,,不想要了
DD202404487,2024-06-16,天猫,P039,完美日记 口红,89,5.0,445.0,U0694,广东,已发货,美妆个护,2.0,中通,4.0,2024-06-17,,
DD202403297,2024-12-12,天猫,P032,太平鸟 牛仔裤,259,3.0,777.0,U1424,山西,已完成,服饰,1.0,顺丰,3.0,2024-12-13,2024-12-15,
DD202402266,2024-06-13,拼多多,P007,AirPods Pro 2 ,"1,899",2.0,3798.0,U0871,广东,已完成,手机数码,1.0,顺丰,3.0,2024-06-14,2024-06-16,
DD202404705,2024/11/14,抖音,P032,太平鸟 牛仔裤,259,5.0,1295.0,U0562,湖北,已取消,服饰,,,,,,
DD202400676,2024-11-03,抖音,P007,AirPods Pro 2,1899,3.0,5697.0,U0097,山东,待发货,手机数码,,,,,,
DD202401440,2024-05-24,拼多多,P011,罗技 MX Master 3S 鼠标,699,2.0,1398.0,U0588,湖北,已完成,电脑办公,2.0,圆通,4.0,2024-05-26,2024-05-30,
DD202404239,2024-11-20,抖音,P002,iPhone 15 Pro 256G,8999,5.0,44995.0,U0565,湖北,已完成,手机数码,1.0,顺丰,3.0,2024-11-21,2024-11-23,
DD202401642,2024-04-17,抖音,P019,海尔 10kg 滚筒洗衣机,1899,3.0,5697.0,,江苏,已发货,家电,2.0,圆通,4.0,2024-04-19,,
DD202401403,2024-03-09,微信小程序,P049,苏泊尔 炒锅,159,1.0,159.0,U1438,广东,已取消,家居日用,,,,,,
DD202400128,2024-01-09,拼多多,P049,苏泊尔炒锅,,1.0,,U0343,河北,已完成,家居日用,2.0,圆通,4.0,2024-01-11,2024-01-13,
DD202401943,,拼多多,P012,机械键盘87键,199,2.0,398.0,U1355,天津,已完成,电脑办公,1.0,顺丰,3.0,,,
DD202400144,2024/2/25,抖音,P032,太平鸟 牛仔裤,¥259,4.0,1036.0,U0331,河南,已发货,服饰,1.0,京东物流,3.0,2024-02-26,,
DD202400700,2024/7/24,天猫,P039,完美日记 口红,89,-1.0,-89.0,U0353,湖南,已退款,美妆个护,,,,,,七天无理由
DD202404853,2024-12-07,京东,P041,蒙牛 纯牛奶24盒,69.9,2.0,139.8,U1223,贵州,已完成,食品,1.0,顺丰,3.0,2024-12-08,2024-12-10,
DD202402714,2024-12-23,天猫,P019,海尔 10kg 滚筒洗衣机,1899,4.0,7596.0,U0065,河北,已完成,家电,1.0,顺丰,3.0,2024-12-24,2024-12-25,
DD202402236,2024-03-18,天猫,P045,金龙鱼 食用油5L,89.9,5.0,449.5,U0912,广东,已发货,食品,2.0,中通,4.0,2024-03-20,,
DD202402104,2024-09-29,抖音,P047,全棉时代 浴巾 ,79,1.0,79.0,U0988,浙江,已完成,家居日用,2.0,中通,4.0,2024-10-01,2024-10-05,
DD202403905,2024/3/14,微信小程序,P002,iPhone15Pro256G,,3.0,,U0449,广东,待发货,手机数码,,,,,,
