订单号,日期,渠道,商品ID,商品名称,单价,数量,金额,用户ID,收货省份,订单状态,商品品类,承诺发货时效,物流商,承诺送达时效,发货时间,签收时间,退款原因,原始日期,原金额,是否有效订单
DD202402431,2024-02-01,京东,P012,机械键盘 87键,,3.0,,未知,北京,已发货,电脑办公,1.0,京东物流,3.0,2024-02-02,,,2024-02-01,,True
DD202400627,2024-04-01,拼多多,P020,格力 电风扇,199.0,-2.0,-398.0,U1081,江苏,已退款,家电,,未知,,,,质量问题,2024-04-01,-398.0,False
DD202400789,2024-11-20,拼多多,P038,全棉时代 洗脸巾,49.9,2.0,99.8,U0949,江苏,已取消,美妆个护,,未知,,,,,2024-11-20,49.9,False
DD202402723,2024-07-25,天猫,P045,金龙鱼 食用油5l,89.9,4.0,359.6,U0571,安徽,已完成,食品,1.0,顺丰,3.0,2024-07-26,2024-07-29,,2024-07-25,359.6,True
DD202400251,2024-04-13,微信小程序,P029,阿迪达斯 运动外套,599.0,-2.0,-1198.0,U1439,湖北,已退款,服饰,,未知,,,,七天无理由,2024/4/13,-1198.0,False
DD202400156,2024-11-22,京东,P027,优衣库圆领T恤,,2.0,,U0867,浙江,已完成,服饰,1.0,顺丰,3.0,2024-11-23,2024-11-24,,2024-11-22,,True
DD202401559,2024-12-12,微信小程序,P043,星巴克 咖啡豆,128.0,4.0,512.0,U0675,贵州,已完成,食品,2.0,中通,4.0,2024-12-15,2024-12-18,,2024-12-12,512.0,True
DD202401475,2024-11-07,天猫,P042,农夫山泉矿泉水,36.0,4.0,144.0,U1342,山东,已完成,食品,3.0,邮政,6.0,2024-11-10,2024-11-15,,2024-11-07,144.0,True
DD202400328,2024-06-04,京东,P033,兰蔻 小黑瓶精华,760.0,3.0,2280.0,U1347,湖南,已完成,美妆个护,3.0,邮政,6.0,2024-06-06,2024-06-10,,2024/6/4,2280.0,True
DD202400754,2024-03-12,京东,P038,全棉时代 洗脸巾,49.9,1.0,49.9,U0819,河北,已完成,美妆个护,3.0,邮政,6.0,2024-03-14,2024-03-18,,2024-03-12,49.9,True
DD202402624,2024-07-07,拼多多,P008,索尼 WH-1000XM5 耳机,2399.0,5.0,11995.0,U1228,四川,已取消,手机数码,,未知,,,,,2024-07-07,11995.0,False
DD202400054,2024-06-04,京东,P034,雅诗兰黛 小棕瓶,950.0,4.0,3800.0,U1442,浙江,已完成,美妆个护,1.0,京东物流,3.0,2024-06-05,2024-06-07,,2024-06-04,3800.0,True
DD202402184,2024-10-24,抖音,P018,美的 1.5匹空调,2799.0,,,U0336,广东,已完成,家电,1.0,京东物流,3.0,2024-10-25,2024-10-27,,2024-10-24,,True
DD202400999,2024-05-07,天猫,P022,苏泊尔电饭煲,299.0,1.0,299.0,U0153,山东,已完成,家电,2.0,中通,4.0,2024-05-09,2024-05-14,,2024-05-07,299.0,True
DD202402935,2024-11-22,拼多多,P047,全棉时代 浴巾,79.0,1.0,79.0,U0784,宁夏,已完成,家居日用,1.0,顺丰,3.0,2024-11-23,2024-11-25,,2024-11-22,79.0,True
DD202400402,2024-12-16,拼多多,P019,海尔 10kg 滚筒洗衣机,1899.0,2.0,3798.0,U1396,河北,已完成,家电,1.0,京东物流,3.0,2024-12-19,2024-12-21,,2024-12-16,3798.0,True
DD202400240,2024-12-14,天猫,P046,网易严选 保温杯,99.0,3.0,297.0,U1171,浙江,已完成,家居日用,1.0,京东物流,3.0,2024-12-15,2024-12-17,,2024-12-14,297.0,True
DD202400178,2024-07-22,京东,P027,优衣库 圆领T恤 ,79.0,1.0,79.0,U1464,内蒙古,已取消,服饰,,未知,,,,,2024-07-22,79.0,False
DD202400131,2024-12-12,天猫,P005,荣耀 Magic6,3999.0,1.0,3999.0,U1462,浙江,已完成,手机数码,1.0,京东物流,3.0,2024-12-13,2024-12-16,,2024-12-12,3999.0,True
DD202402336,2024-06-23,微信小程序,P038,全棉时代 洗脸巾,49.9,2.0,99.8,U0990,安徽,已完成,美妆个护,1.0,顺丰,3.0,2024-06-24,2024-06-25,,2024-06-23,99.8,True
DD202402013,2024-05-16,京东,P027,优衣库 圆领T恤,79.0,5.0,395.0,U0919,陕西,已完成,服饰,2.0,圆通,4.0,2024-05-17,2024-05-20,,20240516,395.0,True
DD202401369,2024-11-21,天猫,P012,机械键盘 87键,199.0,3.0,597.0,U1280,广东,已发货,电脑办公,2.0,圆通,4.0,2024-11-24,,,2024-11-21,597.0,True
DD202401863,2024-11-11,拼多多,P038,全棉时代 洗脸巾 ,49.9,2.0,99.8,U0596,黑龙江,已发货,美妆个护,1.0,京东物流,3.0,2024-11-12,,,2024-11-11,99.8,True
DD202402634,2024-12-17,拼多多,未知,全棉时代 浴巾,79.0,5.0,395.0,U0569,广东,已完成,家居日用,2.0,圆通,4.0,2024-12-18,2024-12-22,,2024-12-17,395.0,True
DD202400414,2024-03-27,天猫,P035,欧莱雅 洗面奶,129.0,5.0,645.0,U1128,四川,已完成,美妆个护,1.0,顺丰,3.0,2024-03-28,2024-03-30,,2024-03-27,645.0,True
DD202400930,2024-11-29,天猫,P041,蒙牛 纯牛奶24盒,69.9,5.0,349.5,U0061,河南,待发货,食品,,未知,,,,,2024-11-29,349.5,True
DD202400684,2024-12-07,抖音,P044,良品铺子 零食大礼包,139.0,1.0,139.0,U0766,河南,已完成,食品,1.0,顺丰,3.0,2024-12-08,2024-12-09,,2024/12/7,139.0,True
DD202402247,2024-03-16,天猫,P033,兰蔻 小黑瓶精华,760.0,5.0,3800.0,U1367,广东,已完成,美妆个护,2.0,圆通,4.0,2024-03-18,2024-03-20,,2024-03-16,3800.0,True
DD202402926,2024-12-31,拼多多,P019,海尔 10kg 滚筒洗衣机,1899.0,5.0,9495.0,U1210,湖南,已完成,家电,3.0,邮政,6.0,2025-01-03,2025-01-10,,2024-12-31,9495.0,True
DD202402830,2024-02-05,拼多多,P042,农夫山泉 矿泉水 ,36.0,2.0,72.0,U0957,浙江,已发货,食品,2.0,圆通,4.0,2024-02-06,,,20240205,72.0,True
DD202401629,2024-07-14,拼多多,P008,索尼 WH-1000XM5 耳机,2399.0,1.0,2399.0,U1251,贵州,已完成,手机数码,2.0,圆通,4.0,2024-07-15,2024-07-18,,2024-07-14,2399.0,True
DD202401711,2024-08-10,京东,P018,美的 1.5匹空调,2799.0,2.0,5598.0,U0691,广东,已完成,家电,3.0,邮政,6.0,2024-08-13,2024-08-22,,2024-08-10,5598.0,True
DD202400062,2024-07-28,拼多多,P015,华为平板 MatePad 11,2199.0,5.0,10995.0,U0573,四川,已完成,电脑办公,2.0,圆通,4.0,2024-07-29,2024-08-02,,2024-07-28,10995.0,True
DD202400594,2024-06-13,抖音,P030,南极人 棉袜5双装,29.9,2.0,59.8,U0364,河南,已完成,服饰,1.0,京东物流,3.0,2024-06-16,2024-06-19,,2024-06-13,59.8,True
DD202400213,2024-06-03,拼多多,P033,兰蔻 小黑瓶精华,760.0,1.0,760.0,U0725,浙江,已取消,美妆个护,,未知,,,,,2024/6/3,760.0,False
DD202400624,2024-03-03,拼多多,P008,索尼 wh-1000xm5 耳机,2399.0,5.0,11995.0,U0139,山东,已发货,手机数码,1.0,京东物流,3.0,2024-03-04,,,2024-03-03,11995.0,True
DD202401374,2024-12-06,天猫,P048,公牛 插线板,49.9,1.0,49.9,U0329,广东,已完成,家居日用,2.0,中通,4.0,2024-12-07,2024-12-09,,2024-12-06,,True
DD202400206,2024-01-30,微信小程序,P010,小米 充电宝20000mAh,129.0,3.0,387.0,U1093,湖北,已发货,手机数码,1.0,顺丰,3.0,2024-01-31,,,2024/1/30,387.0,True
DD202402645,2024-01-13,拼多多,P036,云南白药 牙膏,39.9,5.0,199.5,未知,湖南,已完成,美妆个护,2.0,中通,4.0,2024-01-15,2024-01-18,,2024-01-13,199.5,True
DD202400603,2024-01-29,微信小程序,P020,格力电风扇,199.0,3.0,597.0,U0344,广东,已取消,家电,,未知,,,,,2024/1/29,597.0,False
DD202401807,2024-12-26,抖音,P007,AirPods Pro 2,1899.0,5.0,9495.0,U0458,山东,已发货,手机数码,1.0,京东物流,3.0,2024-12-27,,,2024-12-26,4747.5,True
DD202401379,2024-09-22,天猫,P002,iPhone 15 Pro 256G ,8999.0,2.0,17998.0,U1177,辽宁,待发货,手机数码,,未知,,,,,20240922,17998.0,True
DD202402088,2024-09-14,京东,未知,海尔 10kg 滚筒洗衣机,1899.0,5.0,9495.0,U0110,安徽,已完成,家电,1.0,顺丰,3.0,2024-09-15,2024-09-17,,2024-09-14,9495.0,True
DD202401279,2024-06-02,京东,P046,网易严选 保温杯,99.0,2.0,198.0,U1039,山东,已完成,家居日用,1.0,顺丰,3.0,2024-06-03,2024-06-05,,2024-06-02,198.0,True
DD202400255,2024-08-22,京东,P004,小米 14 12+256G,4299.0,4.0,17196.0,U1323,河南,待发货,手机数码,,未知,,,,,2024-08-22,17196.0,True
DD202402406,2024-03-06,微信小程序,P012,机械键盘 87键,199.0,5.0,995.0,U0083,安徽,已完成,电脑办公,3.0,邮政,6.0,2024-03-09,2024-03-13,,2024-03-06,995.0,True
DD202401683,2024-02-18,天猫,P043,星巴克 咖啡豆,128.0,3.0,384.0,U0098,陕西,已取消,食品,,未知,,,,,2024/2/18,384.0,False
DD202400365,2024-06-21,京东,P018,美的 1.5匹空调,2799.0,5.0,13995.0,U0830,广东,已完成,家电,1.0,京东物流,3.0,2024-06-22,2024-06-24,,20240621,13995.0,True
DD202402668,2024-12-03,抖音,P004,小米 14 12+256g,4299.0,5.0,21495.0,U1001,浙江,已取消,手机数码,,未知,,,,,2024-12-03,21495.0,False
DD202401783,2024-07-07,天猫,P008,索尼 WH-1000XM5 耳机,2399.0,,,U0721,江苏,已取消,手机数码,,未知,,,,,2024-07-07,,False
DD202400829,2024-12-29,天猫,P048,公牛 插线板 ,49.9,3.0,149.7,U1256,河南,已完成,家居日用,1.0,京东物流,3.0,2024-12-30,2025-01-01,,2024-12-29,149.7,True
DD202402119,2024-07-03,天猫,P023,九阳破壁机,399.0,5.0,1995.0,U0858,湖北,待发货,家电,,未知,,,,,2024-07-03,997.5,True
DD202401741,2024-05-08,京东,P010,小米 充电宝20000mAh,129.0,5.0,645.0,U0444,江西,已完成,手机数码,1.0,顺丰,3.0,2024-05-09,2024-05-11,,2024/5/8,645.0,True
DD202401846,2024-04-15,天猫,P049,苏泊尔 炒锅,159.0,5.0,795.0,U1411,湖南,已完成,家居日用,1.0,顺丰,3.0,2024-04-16,2024-04-18,,20240415,795.0,True
DD202400422,2024-11-17,微信小程序,P030,南极人 棉袜5双装,29.9,3.0,89.69999999999999,U0312,江苏,已完成,服饰,1.0,顺丰,3.0,2024-11-18,2024-11-19,,2024-11-17,89.69999999999999,True
DD202401209,2024-12-08,未知,P036,云南白药 牙膏,,1.0,,U0836,江西,待发货,美妆个护,,未知,,,,,2024-12-08,,True
DD202401900,2024-06-23,拼多多,P046,网易严选 保温杯,99.0,4.0,396.0,U1347,湖北,已完成,家居日用,2.0,圆通,4.0,2024-06-25,2024-06-29,,2024-06-23,396.0,True
DD202401935,2024-02-10,天猫,P036,云南白药 牙膏,39.9,2.0,79.8,U0663,江苏,已完成,美妆个护,2.0,中通,4.0,2024-02-12,2024-02-15,,2024-02-10,79.8,True
DD202401745,2024-02-11,拼多多,P035,欧莱雅 洗面奶 ,129.0,2.0,258.0,U0429,河南,已完成,美妆个护,1.0,京东物流,3.0,2024-02-12,2024-02-13,,2024-02-11,258.0,True
DD202400393,2024-01-13,天猫,P046,网易严选 保温杯 ,99.0,1.0,99.0,U0794,山东,已完成,家居日用,3.0,邮政,6.0,2024-01-15,2024-01-20,,20240113,99.0,True
DD202401986,2024-06-23,拼多多,P007,AirPods Pro 2,1899.0,,,U0121,河北,已完成,手机数码,2.0,中通,4.0,2024-06-24,2024-06-27,,2024-06-23,,True
DD202402329,2024-07-15,微信小程序,P046,网易严选 保温杯,99.0,5.0,495.0,U1230,云南,已完成,家居日用,2.0,中通,4.0,2024-07-17,2024-07-19,,2024-07-15,495.0,True
DD202400531,2024-12-22,微信小程序,P039,完美日记 口红,89.0,5.0,445.0,U0424,浙江,已发货,美妆个护,3.0,邮政,6.0,2024-12-25,,,2024-12-22,445.0,True
DD202401041,2024-12-07,拼多多,P038,全棉时代 洗脸巾,49.9,4.0,199.6,U0083,广东,已完成,美妆个护,2.0,中通,4.0,2024-12-08,2024-12-10,,2024-12-07,199.6,True
DD202400953,2024-12-15,拼多多,P002,iPhone 15 Pro 256G,8999.0,5.0,44995.0,U0536,山东,已完成,手机数码,2.0,中通,4.0,2024-12-16,2024-12-18,,2024/12/15,44995.0,True
DD202402190,2024-07-13,京东,P021,米家扫地机器人,1599.0,5.0,7995.0,U0394,吉林,已发货,家电,1.0,顺丰,3.0,2024-07-14,,,2024-07-13,7995.0,True
DD202400368,2024-08-30,天猫,P033,兰蔻 小黑瓶精华,760.0,2.0,1520.0,U0037,内蒙古,已发货,美妆个护,2.0,圆通,4.0,2024-09-01,,,2024-08-30,1520.0,True
DD202401984,2024-06-25,京东,P008,索尼 WH-1000XM5 耳机,,2.0,,U0332,湖北,已发货,手机数码,1.0,京东物流,3.0,2024-06-26,,,2024-06-25,,True
DD202402076,2024-02-16,京东,P042,农夫山泉 矿泉水,36.0,1.0,36.0,U1290,福建,已完成,食品,3.0,邮政,6.0,2024-02-19,2024-02-26,,2024-02-16,36.0,True
DD202401987,2024-02-27,抖音,P003,华为 Mate 60 Pro,6999.0,-1.0,-6999.0,U1198,四川,已退款,手机数码,,未知,,,,发错货,2024-02-27,-6999.0,False
DD202400168,2024-07-06,拼多多,P008,索尼 WH-1000XM5 耳机,2399.0,4.0,9596.0,U0296,广东,已完成,手机数码,1.0,京东物流,3.0,2024-07-08,2024-07-09,,2024-07-06,9596.0,True
DD202401977,2024-05-02,天猫,P010,小米 充电宝20000mAh ,129.0,3.0,387.0,U0446,湖北,待发货,手机数码,,未知,,,,,2024-05-02,387.0,True
DD202400259,2024-11-13,天猫,P018,美的 1.5匹空调,2799.0,5.0,13995.0,U1403,辽宁,待发货,家电,,未知,,,,,2024-11-13,13995.0,True
DD202402924,2024-12-31,京东,P010,小米 充电宝20000mah,129.0,1.0,129.0,U1283,广东,已完成,手机数码,3.0,邮政,6.0,2025-01-02,2025-01-07,,2024/12/31,129.0,True
DD202400921,2024-09-04,拼多多,P015,华为平板 MatePad 11,2199.0,5.0,10995.0,U0641,江苏,已完成,电脑办公,2.0,中通,4.0,2024-09-06,2024-09-10,,2024-09-04,,True
DD202401419,2024-11-14,天猫,P018,美的 1.5匹空调,2799.0,3.0,8397.0,U0786,广东,已完成,家电,1.0,顺丰,3.0,2024-11-15,2024-11-17,,2024/11/14,8397.0,True
DD202402747,2024-03-13,拼多多,P046,网易严选 保温杯,99.0,4.0,396.0,U0339,陕西,已取消,家居日用,,未知,,,,,2024-03-13,396.0,False
DD202400134,2024-03-30,微信小程序,未知,太平鸟牛仔裤,259.0,-1.0,-259.0,U1436,江西,已退款,服饰,,未知,,,,七天无理由,2024/3/30,-259.0,False
DD202402521,2024-11-26,天猫,P006,Redmi K70,2499.0,4.0,9996.0,U0400,江苏,已完成,手机数码,1.0,京东物流,3.0,2024-11-27,2024-11-30,,2024-11-26,9996.0,True
DD202402837,2024-10-01,拼多多,P027,优衣库 圆领T恤 ,79.0,1.0,79.0,U1383,广东,已完成,服饰,1.0,顺丰,3.0,2024-10-02,2024-10-03,,2024-10-01,79.0,True
DD202401954,2024-12-08,天猫,P011,罗技 MX Master 3S 鼠标,699.0,1.0,699.0,U0348,天津,已取消,电脑办公,,未知,,,,,2024-12-08,699.0,False
DD202401511,2024-08-24,微信小程序,P022,苏泊尔电饭煲,299.0,1.0,299.0,U0627,安徽,已完成,家电,2.0,中通,4.0,2024-08-26,2024-08-30,,2024-08-24,299.0,True
DD202401657,2024-03-03,拼多多,P009,小米手环8,249.0,-2.0,-498.0,U0259,江苏,已退款,手机数码,,未知,,,,不想要了,2024-03-03,-498.0,False
DD202402648,2024-08-28,拼多多,P045,金龙鱼 食用油5L ,89.9,1.0,89.9,U0542,山东,已完成,食品,2.0,中通,4.0,2024-08-29,2024-09-01,,2024-08-28,89.9,True
DD202401861,2024-05-24,天猫,P021,米家扫地机器人,1599.0,3.0,4797.0,U0730,北京,已完成,家电,3.0,邮政,6.0,2024-05-26,2024-06-01,,2024-05-24,4797.0,True
DD202401030,2024-05-28,天猫,P006,Redmi K70,2499.0,5.0,12495.0,U0131,广东,已完成,手机数码,2.0,圆通,4.0,2024-05-30,2024-06-03,,2024-05-28,12495.0,True
DD202401453,2024-03-22,天猫,P027,优衣库 圆领t恤,79.0,5.0,395.0,U1271,浙江,已完成,服饰,2.0,圆通,4.0,2024-03-24,2024-03-27,,2024/3/22,395.0,True
DD202401029,2024-06-20,京东,未知,良品铺子零食大礼包,,1.0,,U0572,四川,已完成,食品,1.0,京东物流,3.0,2024-06-21,2024-06-24,,2024-06-20,,True
DD202401227,2024-12-23,天猫,P029,阿迪达斯 运动外套,599.0,2.0,1198.0,U0491,广东,已完成,服饰,2.0,中通,4.0,2024-12-25,2024-12-28,,2024-12-23,1198.0,True
DD202400118,2024-11-04,拼多多,P042,农夫山泉 矿泉水,36.0,3.0,108.0,U0512,广东,已完成,食品,1.0,顺丰,3.0,2024-11-05,2024-11-06,,2024/11/4,108.0,True
DD202400256,2024-09-17,拼多多,P032,太平鸟 牛仔裤,259.0,3.0,777.0,U0142,河南,待发货,服饰,,未知,,,,,2024/9/17,777.0,True
DD202400425,2024-09-04,抖音,P017,得力文件夹,15.9,4.0,63.6,U0225,江苏,已完成,电脑办公,2.0,圆通,4.0,2024-09-05,2024-09-08,,2024-09-04,63.6,True
DD202401548,2024-11-18,天猫,P001,iPhone 15 128G,5999.0,5.0,29995.0,U0372,山东,已完成,手机数码,1.0,顺丰,3.0,2024-11-19,2024-11-21,,2024-11-18,29995.0,True
DD202401946,2024-09-09,京东,P019,海尔 10kg 滚筒洗衣机,1899.0,4.0,7596.0,U0929,云南,已完成,家电,1.0,顺丰,3.0,2024-09-10,2024-09-11,,2024-09-09,7596.0,True
DD202401056,2024-09-14,京东,P046,网易严选 保温杯,99.0,4.0,396.0,U0512,重庆,已完成,家居日用,1.0,京东物流,3.0,2024-09-15,2024-09-17,,2024-09-14,396.0,True
DD202402766,2024-02-11,天猫,P045,金龙鱼 食用油5L,89.9,3.0,269.70000000000005,U0341,河南,已取消,食品,,未知,,,,,2024/2/11,269.70000000000005,False
DD202400326,2024-12-11,京东,P032,太平鸟 牛仔裤,259.0,5.0,1295.0,U0881,江苏,已完成,服饰,1.0,顺丰,3.0,2024-12-12,2024-12-15,,20241211,1295.0,True
DD202400225,2024-06-06,拼多多,P046,网易严选 保温杯,99.0,5.0,495.0,U0495,江苏,已完成,家居日用,2.0,中通,4.0,2024-06-07,2024-06-10,,2024-06-06,495.0,True
DD202402224,2024-11-10,京东,未知,iPhone 15 128G,5999.0,5.0,29995.0,U1496,甘肃,已完成,手机数码,3.0,邮政,6.0,2024-11-12,2024-11-15,,2024-11-10,29995.0,True
DD202402781,2024-07-09,天猫,P019,海尔10kg滚筒洗衣机,1899.0,-1.0,-1899.0,U0242,山东,已退款,家电,,未知,,,,不想要了,2024-07-09,-1899.0,False
DD202402538,2024-06-19,京东,P043,星巴克 咖啡豆 ,128.0,2.0,256.0,U0990,福建,已发货,食品,1.0,京东物流,3.0,2024-06-20,,,2024-06-19,256.0,True
DD202401535,2024-05-12,未知,P027,优衣库 圆领T恤,79.0,2.0,158.0,U1133,吉林,已取消,服饰,,未知,,,,,2024/5/12,158.0,False
DD202401656,2024-03-09,天猫,P010,小米 充电宝20000mAh,129.0,2.0,258.0,U0640,广东,待发货,手机数码,,未知,,,,,2024/3/9,258.0,True
DD202402677,2024-11-08,抖音,P035,欧莱雅 洗面奶,129.0,3.0,387.0,U1232,四川,已完成,美妆个护,1.0,顺丰,3.0,2024-11-09,2024-11-11,,2024-11-08,387.0,True
DD202402241,2024-06-29,天猫,P036,云南白药 牙膏,39.9,5.0,199.5,U1404,浙江,已完成,美妆个护,1.0,京东物流,3.0,2024-06-30,2024-07-02,,2024-06-29,199.5,True
DD202402236,2024-03-18,天猫,P045,金龙鱼 食用油5L,89.9,5.0,449.5,U0912,广东,已发货,食品,2.0,中通,4.0,2024-03-20,,,2024-03-18,449.5,True
DD202401582,2024-08-13,抖音,P034,雅诗兰黛 小棕瓶,950.0,3.0,2850.0,U0307,云南,已完成,美妆个护,1.0,顺丰,3.0,2024-08-14,2024-08-16,,2024-08-13,2850.0,True
DD202402687,2024-03-29,京东,P047,全棉时代 浴巾,79.0,-1.0,-79.0,U0827,福建,已退款,家居日用,,未知,,,,物流太慢,2024-03-29,-39.5,False
DD202400166,2024-06-01,天猫,P019,海尔10kg滚筒洗衣机,1899.0,5.0,9495.0,U0490,山东,已完成,家电,2.0,中通,4.0,2024-06-03,2024-06-07,,2024-06-01,9495.0,True
DD202402817,2024-03-08,天猫,P010,小米 充电宝20000mAh,129.0,2.0,258.0,U1067,北京,已发货,手机数码,2.0,中通,4.0,2024-03-09,,,2024-03-08,258.0,True
DD202401919,2024-01-08,微信小程序,P008,索尼 wh-1000xm5 耳机,2399.0,2.0,4798.0,U0937,江苏,已发货,手机数码,2.0,圆通,4.0,2024-01-11,,,2024-01-08,4798.0,True
DD202402969,2024-02-23,天猫,P017,得力 文件夹,15.9,2.0,31.8,U0237,四川,已完成,电脑办公,2.0,圆通,4.0,2024-02-25,2024-02-28,,2024-02-23,31.8,True
DD202402334,2024-01-19,京东,P020,格力 电风扇 ,199.0,5.0,995.0,U1065,江西,待发货,家电,,未知,,,,,2024-01-19,995.0,True
DD202402819,2024-07-28,微信小程序,P021,米家扫地机器人,1599.0,5.0,7995.0,U0009,陕西,已完成,家电,1.0,顺丰,3.0,2024-07-29,2024-08-02,,2024/7/28,7995.0,True
DD202401847,2024-03-25,天猫,P019,海尔 10kg 滚筒洗衣机,,5.0,,U1142,河北,已完成,家电,1.0,顺丰,3.0,2024-03-26,2024-03-28,,2024-03-25,,True
DD202402891,2024-05-19,天猫,P032,太平鸟 牛仔裤,259.0,-3.0,-777.0,U1127,山东,已退款,服饰,,未知,,,,不想要了,2024-05-19,-777.0,False
DD202400712,2024-10-05,天猫,P033,兰蔻 小黑瓶精华,760.0,1.0,760.0,U0661,陕西,已发货,美妆个护,2.0,圆通,4.0,2024-10-07,,,2024-10-05,760.0,True
DD202402327,2024-03-02,拼多多,P045,金龙鱼 食用油5L,89.9,2.0,179.8,U0682,四川,已完成,食品,3.0,邮政,6.0,2024-03-06,2024-03-10,,2024-03-02,179.8,True
DD202402836,2024-11-20,拼多多,P032,太平鸟 牛仔裤,259.0,5.0,1295.0,U0385,福建,已完成,服饰,1.0,京东物流,3.0,2024-11-21,2024-11-23,,2024/11/20,1295.0,True
DD202401941,2024-02-07,抖音,P050,宜家 收纳箱,69.0,2.0,138.0,U0863,广东,已完成,家居日用,2.0,圆通,4.0,2024-02-08,2024-02-11,,2024-02-07,138.0,True
DD202402317,2024-12-05,天猫,P046,网易严选 保温杯,99.0,4.0,396.0,U0353,浙江,已完成,家居日用,1.0,京东物流,3.0,2024-12-06,2024-12-10,,2024-12-05,396.0,True
DD202401805,2024-07-23,京东,P035,欧莱雅 洗面奶,129.0,4.0,516.0,U0467,湖南,已完成,美妆个护,2.0,中通,4.0,2024-07-24,2024-07-26,,2024/7/23,516.0,True
DD202401452,2024-06-28,天猫,P045,金龙鱼 食用油5L,89.9,3.0,269.70000000000005,U0265,山东,已完成,食品,3.0,邮政,6.0,2024-07-02,2024-07-06,,2024/6/28,269.70000000000005,True
DD202402117,2024-06-14,天猫,P037,海飞丝洗发水,59.9,5.0,299.5,U0082,山东,已完成,美妆个护,2.0,中通,4.0,2024-06-15,2024-06-18,,2024-06-14,299.5,True
DD202402367,2024-08-30,抖音,P041,蒙牛 纯牛奶24盒,,,,U0807,山西,已退款,食品,,未知,,,,质量问题,2024-08-30,,False
DD202402349,2024-10-24,微信小程序,P042,农夫山泉矿泉水,36.0,-2.0,-72.0,U0067,重庆,已退款,食品,,未知,,,,七天无理由,2024/10/24,-72.0,False
DD202400753,2024-08-04,天猫,P006,Redmi K70,2499.0,0.0,0.0,U1257,湖北,已完成,手机数码,1.0,顺丰,3.0,2024-08-05,2024-08-07,,2024-08-04,,True
DD202402474,2024-10-29,微信小程序,P020,格力 电风扇,199.0,4.0,796.0,U1333,陕西,待发货,家电,,未知,,,,,2024/10/29,796.0,True
DD202402146,2024-12-07,京东,P006,Redmi K70,2499.0,4.0,9996.0,U1433,广东,已完成,手机数码,2.0,圆通,4.0,2024-12-09,2024-12-14,,2024-12-07,9996.0,True
DD202400605,2024-02-16,抖音,P005,荣耀 magic6,3999.0,4.0,15996.0,U1448,江苏,已完成,手机数码,1.0,顺丰,3.0,2024-02-17,2024-02-19,,2024-02-16,15996.0,True
DD202401993,2024-12-05,天猫,P035,欧莱雅 洗面奶,129.0,1.0,129.0,U0745,浙江,待发货,美妆个护,,未知,,,,,2024-12-05,129.0,True
DD202400427,2024-12-01,微信小程序,P042,农夫山泉 矿泉水,36.0,3.0,108.0,U1267,湖北,待发货,食品,,未知,,,,,2024/12/1,108.0,True
DD202400142,2024-10-23,微信小程序,P016,得力 A4 打印纸,29.9,1.0,29.9,U0123,广东,已完成,电脑办公,2.0,中通,4.0,2024-10-24,2024-10-26,,2024-10-23,29.9,True
DD202401159,2024-10-02,抖音,P040,三只松鼠 坚果礼盒,99.0,-3.0,-297.0,U1189,广西,已退款,食品,,未知,,,,价格保护,2024-10-02,-297.0,False
DD202400864,2024-03-17,微信小程序,P047,全棉时代 浴巾,,3.0,,U1409,福建,已完成,家居日用,1.0,顺丰,3.0,2024-03-18,2024-03-20,,2024-03-17,,True
DD202400590,2024-11-07,京东,P012,机械键盘 87键,199.0,5.0,995.0,U0917,广东,已完成,电脑办公,2.0,中通,4.0,2024-11-08,2024-11-10,,2024-11-07,995.0,True
DD202401376,2024-03-27,天猫,P007,AirPods Pro 2,1899.0,2.0,3798.0,U0392,河北,已完成,手机数码,3.0,邮政,6.0,2024-03-29,2024-04-05,,2024-03-27,3798.0,True
DD202402604,2024-05-02,抖音,P023,九阳破壁机,399.0,2.0,798.0,U0929,湖南,已完成,家电,1.0,顺丰,3.0,2024-05-03,2024-05-05,,2024-05-02,798.0,True
DD202402071,2024-11-05,微信小程序,P030,南极人 棉袜5双装,29.9,2.0,59.8,未知,辽宁,已完成,服饰,3.0,邮政,6.0,2024-11-08,2024-11-11,,2024-11-05,59.8,True
DD202402705,2024-08-17,拼多多,P034,雅诗兰黛 小棕瓶,950.0,,,U0741,河南,已完成,美妆个护,1.0,顺丰,3.0,2024-08-18,2024-08-19,,2024-08-17,,True
DD202402684,2024-03-26,天猫,P037,海飞丝 洗发水,59.9,1.0,59.9,U0993,山东,待发货,美妆个护,,未知,,,,,2024/3/26,59.9,True
DD202402051,2024-03-27,拼多多,P016,得力 A4 打印纸,29.9,2.0,59.8,U1438,陕西,已完成,电脑办公,2.0,中通,4.0,2024-03-30,2024-04-02,,2024/3/27,59.8,True
DD202400174,2024-03-14,京东,P004,小米 14 12+256G,4299.0,3.0,12897.0,U0365,河南,已取消,手机数码,,未知,,,,,2024-03-14,12897.0,False
DD202400291,2024-09-04,京东,P021,米家扫地机器人,1599.0,4.0,6396.0,U0677,内蒙古,待发货,家电,,未知,,,,,2024-09-04,6396.0,True
DD202402999,2024-11-29,微信小程序,P021,米家扫地机器人,1599.0,2.0,3198.0,U0428,湖南,已取消,家电,,未知,,,,,2024-11-29,3198.0,False
